epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,85.0589,2.05536,9.95399,1.95061,1.80885,1.86099,0.08016,0.15,0.05196,0.01182,0,0,0,0,3.81767,13.2346,1.78355,6.57946,4.50384,0.00194852,0.00194852,0.00194852
41,87.1141,2.41502,9.43841,1.95085,2.3935,2.4551,0.08016,0.15,0.05196,0.01182,0,0,0,0,3.81767,13.2346,1.78355,6.57946,4.50384,0.0019472,0.0019472,0.0019472
42,88.7975,1.99704,10.8683,1.98234,1.98841,1.94028,0.06667,0.15,0.03942,0.02572,0,0,0,0,2.37217,12.7178,1.82924,5.1864,2.52664,0.00194588,0.00194588,0.00194588
43,91.0515,1.54797,10.791,1.92261,1.74001,1.80604,0.45921,0.3,0.33304,0.24197,0,0,0,0,2.1523,12.4564,1.71771,4.49234,2.18894,0.00194456,0.00194456,0.00194456
44,92.7043,2.09848,10.593,1.99905,1.82798,1.95199,0.54016,0.65,0.5185,0.37657,0,0,0,0,2.24048,11.908,1.49894,3.69323,2.37043,0.00194324,0.00194324,0.00194324
45,94.4783,1.69872,9.52538,1.93222,1.61309,1.77611,0.54016,0.65,0.5185,0.37657,0,0,0,0,2.24048,11.908,1.49894,3.69323,2.37043,0.00194192,0.00194192,0.00194192
46,96.081,1.69568,10.9627,1.86948,1.67604,1.75188,0.4651,0.86982,0.61513,0.42724,0,0,0,0,2.57131,11.8937,1.32251,4.88646,3.56864,0.0019406,0.0019406,0.0019406
47,97.974,1.59978,11.5041,1.86284,1.48865,1.73236,0.32258,0.5,0.40118,0.28963,0,0,0,0,2.46717,12.452,1.31997,3.98269,2.85523,0.00193928,0.00193928,0.00193928
48,99.9884,1.53875,9.45535,1.84297,1.65966,1.80468,0.7801,0.55,0.65774,0.37147,0,0,0,0,2.30147,12.8348,1.16222,2.74467,2.48937,0.00193796,0.00193796,0.00193796
49,101.632,1.83488,10.6596,1.92965,1.6031,1.87501,0.7801,0.55,0.65774,0.37147,0,0,0,0,2.30147,12.8348,1.16222,2.74467,2.48937,0.00193664,0.00193664,0.00193664
50,103.044,1.77809,10.0446,1.82183,1.53882,1.69988,0.89796,0.8,0.87754,0.5177,0,0,0,0,2.08528,13.6856,0.97955,1.67526,2.56347,0.00193532,0.00193532,0.00193532
51,105.077,2.08119,7.61808,1.88924,1.69504,2.07877,1,0.85,0.925,0.63409,0,0,0,0,1.82874,14.3128,0.87151,1.59561,2.19347,0.001934,0.001934,0.001934
52,106.923,1.29726,10.7074,1.87519,1.22548,1.53377,0.74425,0.8,0.86269,0.62263,0,0,0,0,1.85996,14.155,0.72051,3.2588,2.45065,0.00193268,0.00193268,0.00193268
53,108.518,1.74153,9.63244,1.71963,1.55578,1.81257,0.74425,0.8,0.86269,0.62263,0,0,0,0,1.85996,14.155,0.72051,3.2588,2.45065,0.00193136,0.00193136,0.00193136
54,110.007,2.2288,10.8716,1.99092,1.7087,1.92164,0.41959,0.9,0.47555,0.33112,0.02748,0.05,0.00961,0.00096,2.0077,12.5523,0.90627,5.65821,2.43226,0.00193004,0.00193004,0.00193004
55,111.721,1.8744,9.71214,1.87576,1.60335,1.92209,0.18208,0.6,0.20159,0.14292,0,0,0,0,2.20215,12.523,1.05964,11.7267,2.65424,0.00192872,0.00192872,0.00192872
56,113.737,1.79071,9.84175,1.80693,1.5953,1.86486,0.15943,0.7,0.17386,0.09544,0,0,0,0,2.19636,12.7663,1.04438,13.6979,2.51077,0.0019274,0.0019274,0.0019274
57,115.276,1.80599,8.58158,1.8646,1.61553,1.86763,0.15943,0.7,0.17386,0.09544,0,0,0,0,2.19636,12.7663,1.04438,13.6979,2.51077,0.00192608,0.00192608,0.00192608
58,116.884,1.87824,9.06729,1.85199,1.57778,1.80375,0.38507,0.87697,0.47125,0.28119,0,0,0,0,2.61061,13.0224,0.95216,7.6796,3.07164,0.00192476,0.00192476,0.00192476
59,119.287,1.42156,9.01859,1.92709,1.82951,1.68004,0.85778,0.65,0.83382,0.56213,0,0,0,0,2.46795,13.2167,0.85853,3.55171,3.2185,0.00192344,0.00192344,0.00192344
60,121.209,1.66596,9.35365,1.8627,1.42379,1.76583,0.93459,0.85,0.90825,0.63574,0.06125,0.05,0.02848,0.00285,2.51428,13.5281,0.81968,2.13928,3.35733,0.00192212,0.00192212,0.00192212
61,123.202,1.49,8.94173,1.79168,1.29201,1.64433,0.93459,0.85,0.90825,0.63574,0.06125,0.05,0.02848,0.00285,2.51428,13.5281,0.81968,2.13928,3.35733,0.0019208,0.0019208,0.0019208
62,125.2,1.4339,9.44511,1.68032,1.54923,1.69651,1,0.95,0.975,0.71414,0,0,0,0,2.34862,13.3014,0.67741,1.4827,2.80267,0.00191948,0.00191948,0.00191948
63,127.081,1.66271,10.7676,1.84065,1.47942,1.74537,1,0.95,0.975,0.70674,0,0,0,0,2.2496,13.3934,0.59862,1.14038,2.52787,0.00191816,0.00191816,0.00191816
64,128.534,2.09061,9.53142,1.85814,1.86782,1.93009,0.94444,0.85,0.91778,0.67392,0,0,0,0,2.25918,13.6795,0.61175,1.15794,2.52681,0.00191684,0.00191684,0.00191684
65,129.95,1.97958,10.6431,1.90842,1.63938,1.85098,0.94444,0.85,0.91778,0.67392,0,0,0,0,2.25918,13.6795,0.61175,1.15794,2.52681,0.00191552,0.00191552,0.00191552
66,131.808,1.74743,8.46441,1.76467,1.69681,1.82041,0.84934,0.85,0.8817,0.64453,0,0,0,0,2.3134,13.2363,0.59192,1.59226,2.47303,0.0019142,0.0019142,0.0019142
67,133.367,1.67687,10.1773,1.90148,1.36483,1.65876,0.94496,0.95,0.95692,0.69037,0,0,0,0,2.15893,12.9614,0.49368,2.29353,2.29138,0.00191288,0.00191288,0.00191288
68,135.113,1.59455,8.80664,1.76685,1.51839,1.72442,0.98732,0.95,0.98667,0.66497,0,0,0,0,2.13381,12.5546,0.50754,2.56024,2.14376,0.00191156,0.00191156,0.00191156
69,136.87,1.52734,8.64015,1.61197,1.34393,1.645,0.98732,0.95,0.98667,0.66497,0,0,0,0,2.13381,12.5546,0.50754,2.56024,2.14376,0.00191024,0.00191024,0.00191024
70,138.997,1.47462,8.61196,1.6663,1.51727,1.72351,0.83336,0.75015,0.8602,0.59338,0,0,0,0,2.26115,12.1013,0.62523,2.76932,2.13418,0.00190892,0.00190892,0.00190892
71,140.775,1.61411,9.11772,1.76836,1.49862,1.65956,0.93116,0.75,0.84308,0.54868,0,0,0,0,2.29835,12.2998,0.60127,2.83596,2.18705,0.0019076,0.0019076,0.0019076
72,142.82,1.80151,9.28188,1.66977,1.38472,1.84521,0.9195,0.85,0.91915,0.64003,0.04699,0.05,0.02312,0.00231,2.30613,12.7819,0.5256,2.65132,2.2681,0.00190628,0.00190628,0.00190628
73,144.815,1.68664,8.94005,1.77564,1.49169,1.69335,0.9195,0.85,0.91915,0.64003,0.04699,0.05,0.02312,0.00231,2.30613,12.7819,0.5256,2.65132,2.2681,0.00190496,0.00190496,0.00190496
74,147.049,1.26432,9.53604,1.45196,1.46216,1.66584,0.93517,0.9,0.93661,0.68747,0.0606,0.05,0.027,0.0027,2.47642,11.8645,0.64296,2.08039,2.38642,0.00190364,0.00190364,0.00190364
75,148.81,1.22653,10.2562,1.62666,1.29502,1.48018,0.94929,0.75,0.86688,0.54086,0,0,0,0,2.78528,11.8208,1.18719,1.92439,2.58148,0.00190232,0.00190232,0.00190232
76,150.588,1.68248,9.56498,1.63682,1.51938,1.72521,0.82936,0.24403,0.47417,0.29617,0,0,0,0,3.05075,12.7065,1.5599,2.38672,2.65538,0.001901,0.001901,0.001901
77,152.81,1.6664,8.86554,1.64449,1.47631,1.71552,0.82936,0.24403,0.47417,0.29617,0,0,0,0,3.05075,12.7065,1.5599,2.38672,2.65538,0.00189968,0.00189968,0.00189968
78,154.184,1.77907,10.2413,1.65072,1.53916,1.59816,0.57143,0.2,0.38,0.25719,0,0,0,0,3.28281,12.9285,1.57738,2.95752,2.83967,0.00189836,0.00189836,0.00189836
79,156.033,1.33923,10.5137,1.74832,1.30141,1.50532,0.75,0.15,0.4425,0.2655,0,0,0,0,3.51398,13.3673,1.60519,3.65983,3.12508,0.00189704,0.00189704,0.00189704
80,157.871,1.80323,10.6025,1.70277,1.54202,1.7378,1,0.2,0.6,0.3735,0,0,0,0,3.56205,13.1808,1.6064,3.23591,3.09666,0.00189572,0.00189572,0.00189572
81,159.903,1.6128,10.3132,1.87304,1.44698,1.64782,1,0.2,0.6,0.3735,0,0,0,0,3.56205,13.1808,1.6064,3.23591,3.09666,0.0018944,0.0018944,0.0018944
82,161.703,1.33805,10.2049,1.66738,1.214,1.5937,1,0.19885,0.465,0.2885,0,0,0,0,3.27988,12.197,1.44866,3.54299,2.84462,0.00189308,0.00189308,0.00189308
83,163.839,1.6003,8.93324,1.94596,1.3872,1.76768,0.74125,0.3,0.53167,0.33647,0,0,0,0,2.97754,11.7733,1.34158,4.05159,2.60302,0.00189176,0.00189176,0.00189176
84,165.566,1.30161,9.58634,1.66704,1.20308,1.46988,0.76923,0.5,0.66252,0.41122,0,0,0,0,2.45815,11.5787,1.28219,4.08095,2.09847,0.00189044,0.00189044,0.00189044
85,167.129,1.81129,9.29795,1.54377,1.61912,1.87864,0.76923,0.5,0.66252,0.41122,0,0,0,0,2.45815,11.5787,1.28219,4.08095,2.09847,0.00188912,0.00188912,0.00188912
86,168.58,1.60369,9.29591,1.66991,1.57269,1.70644,0.99644,0.85,0.91658,0.5392,0,0,0,0,2.29538,11.4784,1.1549,3.05503,2.11625,0.0018878,0.0018878,0.0018878
87,170.348,1.6183,9.00581,1.87784,1.4789,1.68777,1,0.9,0.95,0.65351,0,0,0,0,2.19738,11.3626,0.90762,2.44326,2.18968,0.00188648,0.00188648,0.00188648
88,172.525,1.45051,8.7449,1.70907,1.32205,1.60454,0.94737,0.9,0.93921,0.68325,0.11669,0.1,0.06517,0.01239,2.32024,10.8392,0.64021,2.35081,2.82474,0.00188516,0.00188516,0.00188516
89,174.397,1.48169,8.61775,1.67211,1.4422,1.65029,0.94737,0.9,0.93921,0.68325,0.11669,0.1,0.06517,0.01239,2.32024,10.8392,0.64021,2.35081,2.82474,0.00188384,0.00188384,0.00188384
90,175.989,1.5753,9.33878,1.44962,1.52722,1.77406,0.95,0.95,0.9685,0.70283,0.2,0.2,0.133,0.02493,2.43679,10.6182,0.52919,2.14217,3.22736,0.00188252,0.00188252,0.00188252
91,177.885,1.32827,9.59688,1.76621,1.28174,1.5436,0.95,0.95,0.9735,0.69904,0.2,0.2,0.133,0.02876,2.35661,10.47,0.5536,2.10796,3.01922,0.0018812,0.0018812,0.0018812
92,179.62,2.03966,9.52644,1.6445,1.71012,1.89853,0.95,0.95,0.9735,0.69398,0.2,0.2,0.12688,0.02736,2.33163,10.6019,0.48872,2.15787,2.89693,0.00187988,0.00187988,0.00187988
93,180.938,1.71642,10.2949,1.80777,1.56736,1.662,0.95,0.95,0.9735,0.69398,0.2,0.2,0.12688,0.02736,2.33163,10.6019,0.48872,2.15787,2.89693,0.00187856,0.00187856,0.00187856
94,182.71,1.34284,9.59171,1.51955,1.2033,1.54305,0.95,0.95,0.9735,0.69639,0.2,0.2,0.1258,0.02672,2.20917,10.7365,0.4686,2.00641,2.62934,0.00187724,0.00187724,0.00187724
95,184.638,1.5206,8.49913,1.6311,1.52575,1.70194,0.96603,0.95,0.9735,0.7021,0.10235,0.1,0.0586,0.01126,2.24666,11.1472,0.4397,2.18661,2.53634,0.00187592,0.00187592,0.00187592
96,186.683,1.49464,9.79547,1.73915,1.22302,1.63319,0.98344,0.95,0.9735,0.7097,0.05195,0.05,0.02665,0.00533,2.35058,11.3167,0.40577,2.21539,2.58016,0.0018746,0.0018746,0.0018746
97,188.552,1.50011,7.31657,1.57231,1.34813,1.61801,0.98344,0.95,0.9735,0.7097,0.05195,0.05,0.02665,0.00533,2.35058,11.3167,0.40577,2.21539,2.58016,0.00187328,0.00187328,0.00187328
98,190.734,1.79009,7.96133,1.82432,1.47308,1.89998,0.987,0.95,0.9735,0.69537,0.10519,0.1,0.05738,0.01148,2.45487,11.0364,0.40712,2.21252,2.67947,0.00187196,0.00187196,0.00187196
99,192.638,1.63015,7.53914,1.57777,1.55926,1.81829,1,0.93568,0.9735,0.69954,0.10949,0.1,0.05738,0.00842,2.43698,10.7938,0.44471,2.17284,2.67196,0.00187064,0.00187064,0.00187064
100,194.813,1.2632,8.63894,1.8798,1.18976,1.49431,0.95,0.95,0.971,0.69556,0.10461,0.1,0.05738,0.00574,2.49112,10.5861,0.50617,2.09926,2.65728,0.00186932,0.00186932,0.00186932
101,196.407,1.20205,8.21854,1.31972,1.15882,1.41542,0.95,0.95,0.971,0.69556,0.10461,0.1,0.05738,0.00574,2.49112,10.5861,0.50617,2.09926,2.65728,0.001868,0.001868,0.001868
102,198.825,1.5308,9.25106,1.71173,1.26381,1.7281,0.95,0.95,0.9685,0.69526,0.25,0.25,0.20636,0.03159,2.38013,9.92394,0.63081,2.12358,2.46794,0.00186668,0.00186668,0.00186668
103,200.602,1.38136,9.69047,1.63945,1.04572,1.491,0.95,0.95,0.9685,0.69039,0.15159,0.15,0.09796,0.01581,2.36458,9.80594,0.62707,2.03146,2.40446,0.00186536,0.00186536,0.00186536
104,202.046,1.32706,9.73539,1.70675,1.20934,1.4976,0.95,0.95,0.971,0.69378,0.16938,0.15,0.09796,0.0098,2.33278,9.83098,0.6683,2.01827,2.29061,0.00186404,0.00186404,0.00186404
105,203.94,1.21398,9.68964,1.65126,1.10631,1.47421,0.95,0.95,0.971,0.69378,0.16938,0.15,0.09796,0.0098,2.33278,9.83098,0.6683,2.01827,2.29061,0.00186272,0.00186272,0.00186272
106,205.646,1.31448,10.2883,1.80489,1.35433,1.56293,0.98067,0.95,0.9735,0.70715,0.05267,0.05,0.02681,0.00268,2.26968,10.5335,0.55838,1.98085,2.20247,0.0018614,0.0018614,0.0018614
107,207.45,1.29955,10.3923,1.62259,1.26358,1.52527,0.99023,0.95,0.9735,0.70927,0,0,0,0,2.26146,11.4397,0.45768,1.57322,2.16254,0.00186008,0.00186008,0.00186008
108,209.293,1.50761,9.26692,1.67116,1.23768,1.64048,1,1,0.995,0.72311,0,0,0,0,2.20824,11.731,0.43361,1.40102,2.07456,0.00185876,0.00185876,0.00185876
109,211.191,1.64979,10.1089,1.51777,1.35776,1.81625,1,1,0.995,0.72311,0,0,0,0,2.20824,11.731,0.43361,1.40102,2.07456,0.00185744,0.00185744,0.00185744
110,212.702,1.80651,7.20103,1.63932,1.60972,1.7428,0.99255,0.95,0.9735,0.72183,0.1,0.1,0.055,0.01363,1.92659,10.7914,0.52626,1.59235,1.82053,0.00185612,0.00185612,0.00185612
111,214.601,1.47732,8.51178,1.61038,1.23717,1.64982,0.98908,0.95,0.97214,0.70165,0.14286,0.15,0.08318,0.01611,1.61908,10.7068,0.57499,1.37297,1.5946,0.0018548,0.0018548,0.0018548
112,216.729,1.60821,9.1213,1.58599,1.38782,1.72356,0.98817,0.95,0.9735,0.62525,0,0,0,0,1.75187,12.7634,0.44592,1.36982,1.67248,0.00185348,0.00185348,0.00185348
113,218.341,1.51221,9.09814,1.78979,1.24756,1.58926,0.98817,0.95,0.9735,0.62525,0,0,0,0,1.75187,12.7634,0.44592,1.36982,1.67248,0.00185216,0.00185216,0.00185216
114,220.269,1.52793,9.65741,1.70531,1.1369,1.60033,1,0.83297,0.91658,0.63229,0,0,0,0,1.89183,14.0789,0.39266,1.50493,1.81445,0.00185084,0.00185084,0.00185084
115,221.794,1.54448,8.84512,1.52501,1.1437,1.56872,1,0.9,0.95,0.62375,0,0,0,0,1.91991,14.4848,0.40123,1.44224,1.89521,0.00184952,0.00184952,0.00184952
116,223.441,1.54092,10.4421,1.72517,1.40887,1.6227,0.99925,0.9,0.94711,0.59635,0,0,0,0,1.91998,14.5459,0.33627,1.35833,1.95839,0.0018482,0.0018482,0.0018482
117,225.159,1.53596,9.04312,1.41699,1.5313,1.64435,0.99925,0.9,0.94711,0.59635,0,0,0,0,1.91998,14.5459,0.33627,1.35833,1.95839,0.00184688,0.00184688,0.00184688
118,227.139,1.55645,8.87928,1.60221,1.26278,1.6808,0.86364,0.95,0.95354,0.64311,0,0,0,0,1.87903,13.8284,0.36131,1.31336,2.0249,0.00184556,0.00184556,0.00184556
119,229.271,1.48649,7.84192,1.24242,1.25889,1.72224,0.90476,0.95,0.95714,0.70154,0,0,0,0,1.84331,13.5712,0.33867,1.14747,2.07725,0.00184424,0.00184424,0.00184424
120,231.166,1.50328,8.5295,1.54903,1.2545,1.72347,0.95,0.95,0.961,0.68888,0,0,0,0,2.03263,13.3625,0.33389,1.41665,2.25317,0.00184292,0.00184292,0.00184292
121,233.045,1.22368,10.7466,1.59069,1.18301,1.56876,0.95,0.95,0.961,0.68888,0,0,0,0,2.03263,13.3625,0.33389,1.41665,2.25317,0.0018416,0.0018416,0.0018416
122,235.116,1.26385,9.80889,1.49394,1.08938,1.64353,0.95,0.95,0.956,0.69967,0,0,0,0,2.1637,13.5968,0.29452,1.3855,2.35277,0.00184028,0.00184028,0.00184028
123,236.566,1.37795,9.08692,1.58383,1.16184,1.68043,0.95,0.95,0.9585,0.70701,0,0,0,0,2.21958,14.1548,0.24692,1.79939,2.31789,0.00183896,0.00183896,0.00183896
124,238.382,1.5536,10.4236,1.60425,1.28549,1.74479,0.95,0.95,0.9685,0.71626,0,0,0,0,2.29966,14.8386,0.19605,2.24246,2.22971,0.00183764,0.00183764,0.00183764
125,239.762,1.35022,7.95222,1.60026,1.16717,1.51138,0.95,0.95,0.9685,0.71626,0,0,0,0,2.29966,14.8386,0.19605,2.24246,2.22971,0.00183632,0.00183632,0.00183632
126,241.311,1.60453,9.94234,1.57606,1.51244,1.64319,0.98492,0.95,0.9735,0.73324,0,0,0,0,2.18085,14.1474,0.21886,2.09337,2.01758,0.001835,0.001835,0.001835
127,243.224,1.11684,8.4422,1.52546,0.98771,1.40029,0.98889,0.95,0.97214,0.72255,0,0,0,0,1.78855,12.2884,0.28788,1.48076,1.60173,0.00183368,0.00183368,0.00183368
128,245.02,1.39404,9.48647,1.57741,1.22228,1.64493,0.96,0.95,0.99045,0.70558,0.22591,0.2,0.11625,0.01668,1.43999,10.0889,0.42186,1.1024,1.33158,0.00183236,0.00183236,0.00183236
129,246.385,1.12943,10.0903,1.4352,1.18358,1.45085,0.96,0.95,0.99045,0.70558,0.22591,0.2,0.11625,0.01668,1.43999,10.0889,0.42186,1.1024,1.33158,0.00183104,0.00183104,0.00183104
130,248.005,1.36255,9.03848,1.4252,1.28416,1.57772,0.9644,0.9,0.97728,0.6902,0.25087,0.2,0.12115,0.0207,1.4694,9.57298,0.5212,1.24317,1.33887,0.00182972,0.00182972,0.00182972
